Timestamp,CPU_%,Mem_Usage,Mem_Limit,Mem_%,Net_Input,Net_Output,Block_Input,Block_Output,PIDs
2025-06-27T13:22:37Z,0.71%,144.8MiB,31.29GiB,0.45%,4.29MB,9.97MB,20.5kB,28.6MB,79
2025-06-27T13:22:49Z,0.50%,144.6MiB,31.29GiB,0.45%,4.31MB,10MB,20.5kB,28.7MB,79
2025-06-27T13:23:02Z,1.14%,144.6MiB,31.29GiB,0.45%,4.32MB,10.1MB,20.5kB,28.9MB,79
2025-06-27T13:23:14Z,1.33%,144.6MiB,31.29GiB,0.45%,4.34MB,10.1MB,20.5kB,29MB,79
2025-06-27T13:23:27Z,0.47%,144.6MiB,31.29GiB,0.45%,4.36MB,10.1MB,20.5kB,29.1MB,79
2025-06-27T13:23:39Z,0.66%,144.6MiB,31.29GiB,0.45%,4.37MB,10.2MB,20.5kB,29.2MB,79
2025-06-27T13:23:52Z,1.01%,144.6MiB,31.29GiB,0.45%,4.39MB,10.2MB,20.5kB,29.4MB,79
2025-06-27T13:24:04Z,0.74%,144.8MiB,31.29GiB,0.45%,4.4MB,10.3MB,20.5kB,29.5MB,79
2025-06-27T13:24:17Z,0.90%,144.6MiB,31.29GiB,0.45%,4.42MB,10.3MB,20.5kB,29.6MB,79
2025-06-27T13:24:29Z,1.14%,144.6MiB,31.29GiB,0.45%,4.43MB,10.3MB,20.5kB,29.6MB,79
2025-06-27T13:24:42Z,1.08%,144.6MiB,31.29GiB,0.45%,4.45MB,10.4MB,20.5kB,29.7MB,79
2025-06-27T13:24:54Z,0.76%,144.6MiB,31.29GiB,0.45%,4.46MB,10.4MB,20.5kB,29.9MB,79
2025-06-27T13:25:07Z,0.56%,144.8MiB,31.29GiB,0.45%,4.48MB,10.5MB,20.5kB,30MB,79
2025-06-27T13:25:19Z,1.12%,144.8MiB,31.29GiB,0.45%,4.5MB,10.5MB,20.5kB,30MB,79
2025-06-27T13:25:32Z,0.58%,145.1MiB,31.29GiB,0.45%,4.51MB,10.5MB,20.5kB,30.1MB,79
2025-06-27T13:25:44Z,0.76%,144.6MiB,31.29GiB,0.45%,4.53MB,10.6MB,20.5kB,30.2MB,79
2025-06-27T13:25:57Z,0.67%,144.6MiB,31.29GiB,0.45%,4.54MB,10.6MB,20.5kB,30.4MB,79
2025-06-27T13:26:09Z,0.63%,144.6MiB,31.29GiB,0.45%,4.56MB,10.7MB,20.5kB,30.5MB,79
2025-06-27T13:26:22Z,0.75%,144.6MiB,31.29GiB,0.45%,4.58MB,10.7MB,20.5kB,30.6MB,79
2025-06-27T13:26:34Z,0.76%,144.6MiB,31.29GiB,0.45%,4.59MB,10.8MB,20.5kB,30.7MB,79
2025-06-27T13:26:47Z,0.47%,144.6MiB,31.29GiB,0.45%,4.6MB,10.8MB,20.5kB,30.7MB,79
2025-06-27T13:26:59Z,1.01%,144.6MiB,31.29GiB,0.45%,4.62MB,10.8MB,20.5kB,30.9MB,79
2025-06-27T13:27:12Z,0.70%,144.6MiB,31.29GiB,0.45%,4.64MB,10.9MB,20.5kB,31MB,79
2025-06-27T13:27:24Z,1.80%,144.6MiB,31.29GiB,0.45%,4.65MB,10.9MB,20.5kB,31.1MB,79
2025-06-27T13:27:37Z,1.13%,144.6MiB,31.29GiB,0.45%,4.67MB,11MB,20.5kB,31.2MB,79
2025-06-27T13:27:49Z,0.75%,144.8MiB,31.29GiB,0.45%,4.68MB,11MB,20.5kB,31.3MB,79
2025-06-27T13:28:02Z,0.46%,144.6MiB,31.29GiB,0.45%,4.7MB,11MB,20.5kB,31.5MB,79
2025-06-27T13:28:14Z,0.77%,144.6MiB,31.29GiB,0.45%,4.71MB,11.1MB,20.5kB,31.6MB,79
2025-06-27T13:28:27Z,0.59%,144.6MiB,31.29GiB,0.45%,4.73MB,11.1MB,20.5kB,31.7MB,79
2025-06-27T13:28:39Z,1.52%,144.8MiB,31.29GiB,0.45%,4.75MB,11.2MB,20.5kB,31.7MB,79
2025-06-27T13:28:52Z,1.79%,144.8MiB,31.29GiB,0.45%,4.76MB,11.2MB,20.5kB,32MB,79
2025-06-27T13:29:04Z,0.72%,144.6MiB,31.29GiB,0.45%,4.78MB,11.3MB,20.5kB,32.1MB,79
2025-06-27T13:29:17Z,0.54%,144.6MiB,31.29GiB,0.45%,4.79MB,11.3MB,20.5kB,32.1MB,79
2025-06-27T13:29:30Z,0.72%,144.6MiB,31.29GiB,0.45%,4.81MB,11.3MB,20.5kB,32.2MB,79
2025-06-27T13:29:42Z,0.53%,144.6MiB,31.29GiB,0.45%,4.82MB,11.4MB,20.5kB,32.3MB,79
2025-06-27T13:29:54Z,1.17%,144.6MiB,31.29GiB,0.45%,4.84MB,11.4MB,20.5kB,32.5MB,79
2025-06-27T13:30:07Z,0.76%,144.8MiB,31.29GiB,0.45%,4.85MB,11.5MB,20.5kB,32.5MB,79
2025-06-27T13:30:19Z,1.21%,144.8MiB,31.29GiB,0.45%,4.87MB,11.5MB,20.5kB,32.6MB,79
2025-06-27T13:30:32Z,0.71%,144.6MiB,31.29GiB,0.45%,4.89MB,11.5MB,20.5kB,32.7MB,79
2025-06-27T13:30:45Z,0.73%,144.6MiB,31.29GiB,0.45%,4.9MB,11.6MB,20.5kB,32.8MB,79
2025-06-27T13:30:57Z,0.61%,144.6MiB,31.29GiB,0.45%,4.92MB,11.6MB,20.5kB,33MB,79
2025-06-27T13:31:10Z,1.31%,144.6MiB,31.29GiB,0.45%,4.93MB,11.7MB,20.5kB,33.1MB,79
2025-06-27T13:31:22Z,0.61%,144.6MiB,31.29GiB,0.45%,4.95MB,11.7MB,20.5kB,33.2MB,79
2025-06-27T13:31:34Z,1.57%,144.6MiB,31.29GiB,0.45%,4.97MB,11.8MB,20.5kB,33.2MB,79
2025-06-27T13:31:47Z,0.92%,144.6MiB,31.29GiB,0.45%,4.98MB,11.8MB,20.5kB,33.3MB,79
2025-06-27T13:32:00Z,1.48%,144.6MiB,31.29GiB,0.45%,5MB,11.8MB,20.5kB,33.5MB,79
2025-06-27T13:32:12Z,0.82%,144.6MiB,31.29GiB,0.45%,5.01MB,11.9MB,20.5kB,33.6MB,79
2025-06-27T13:32:24Z,0.63%,144.6MiB,31.29GiB,0.45%,5.03MB,11.9MB,20.5kB,33.7MB,79
2025-06-27T13:32:37Z,0.87%,144.6MiB,31.29GiB,0.45%,5.04MB,12MB,20.5kB,33.8MB,79
2025-06-27T13:32:50Z,1.58%,144.6MiB,31.29GiB,0.45%,5.06MB,12MB,20.5kB,33.9MB,79
2025-06-27T13:33:02Z,0.88%,144.6MiB,31.29GiB,0.45%,5.07MB,12MB,20.5kB,34.1MB,79
2025-06-27T13:33:14Z,0.92%,144.6MiB,31.29GiB,0.45%,5.09MB,12.1MB,20.5kB,34.2MB,79
2025-06-27T13:33:27Z,0.99%,144.6MiB,31.29GiB,0.45%,5.1MB,12.1MB,20.5kB,34.2MB,79
2025-06-27T13:33:40Z,1.48%,144.6MiB,31.29GiB,0.45%,5.12MB,12.2MB,20.5kB,34.4MB,79
2025-06-27T13:33:52Z,1.83%,144.6MiB,31.29GiB,0.45%,5.14MB,12.2MB,20.5kB,34.5MB,79
2025-06-27T13:34:04Z,0.74%,144.6MiB,31.29GiB,0.45%,5.15MB,12.3MB,20.5kB,34.7MB,79
2025-06-27T13:34:17Z,0.69%,144.6MiB,31.29GiB,0.45%,5.17MB,12.3MB,20.5kB,34.7MB,79
2025-06-27T13:34:30Z,2.86%,144.6MiB,31.29GiB,0.45%,5.18MB,12.3MB,20.5kB,34.8MB,79
2025-06-27T13:34:42Z,0.86%,144.6MiB,31.29GiB,0.45%,5.2MB,12.4MB,20.5kB,34.9MB,79
2025-06-27T13:34:54Z,1.04%,144.6MiB,31.29GiB,0.45%,5.21MB,12.4MB,20.5kB,35MB,79
2025-06-27T13:35:07Z,0.90%,144.6MiB,31.29GiB,0.45%,5.23MB,12.5MB,20.5kB,35.1MB,79
2025-06-27T13:35:20Z,2.33%,144.8MiB,31.29GiB,0.45%,5.24MB,12.5MB,20.5kB,35.2MB,79
2025-06-27T13:35:32Z,1.19%,144.6MiB,31.29GiB,0.45%,5.26MB,12.5MB,20.5kB,35.3MB,79
2025-06-27T13:35:44Z,1.14%,144.8MiB,31.29GiB,0.45%,5.27MB,12.6MB,20.5kB,35.4MB,79
2025-06-27T13:35:57Z,3.01%,144.6MiB,31.29GiB,0.45%,5.29MB,12.6MB,20.5kB,35.5MB,79
2025-06-27T13:36:10Z,9.86%,144.6MiB,31.29GiB,0.45%,5.3MB,12.6MB,20.5kB,35.6MB,79
2025-06-27T13:36:23Z,0.57%,144.8MiB,31.29GiB,0.45%,5.31MB,12.7MB,20.5kB,35.7MB,79
2025-06-27T13:36:36Z,0.52%,144.8MiB,31.29GiB,0.45%,5.31MB,12.7MB,20.5kB,35.7MB,79
2025-06-27T13:36:48Z,0.48%,144.8MiB,31.29GiB,0.45%,5.31MB,12.7MB,20.5kB,35.8MB,79
2025-06-27T13:37:01Z,1.08%,144.6MiB,31.29GiB,0.45%,5.31MB,12.7MB,20.5kB,36MB,79
2025-06-27T13:37:13Z,0.47%,144.8MiB,31.29GiB,0.45%,5.31MB,12.7MB,20.5kB,36MB,79
2025-06-27T13:37:25Z,0.44%,144.8MiB,31.29GiB,0.45%,5.32MB,12.7MB,20.5kB,36.1MB,79
2025-06-27T13:37:37Z,0.50%,144.6MiB,31.29GiB,0.45%,5.32MB,12.7MB,20.5kB,36.1MB,79
