Timestamp,CPU_%,Mem_Usage,Mem_Limit,Mem_%,Net_Input,Net_Output,Block_Input,Block_Output,PIDs
2025-06-27T14:49:01Z,2.47%,7.551MiB,31.29GiB,0.02%,474B,11.3kB,0B,0B,1
2025-06-27T14:49:13Z,3.57%,7.406MiB,31.29GiB,0.02%,956B,116kB,0B,0B,1
2025-06-27T14:49:25Z,3.66%,7.402MiB,31.29GiB,0.02%,956B,217kB,0B,20.5kB,1
2025-06-27T14:49:38Z,5.22%,7.68MiB,31.29GiB,0.02%,117kB,527kB,0B,53.2kB,1
2025-06-27T14:49:51Z,2.64%,7.852MiB,31.29GiB,0.02%,213kB,758kB,0B,73.7kB,1
2025-06-27T14:50:03Z,1.81%,8.098MiB,31.29GiB,0.03%,213kB,863kB,0B,94.2kB,1
